                  MORTGAGE AMORTIZATION TABLE


Amount:                    $750000
Interest Rate:             7.34%
Term(Years):               15
Monthly Payment:           $6884.58
Additional Principal:      $500
Actual Payment:            $7384.58
 ######   Assignment 2 Sample Program Copyright - Kabita Gurung  ######



       Principal          Interest       Balance
1         2797.08          4587.5          747203
2         2814.19         4570.39          744389
3          2831.4         4553.18          741557
4         2848.72         4535.86          738709
5         2866.14         4518.43          735842
6         2883.67          4500.9          732959
7         2901.31         4483.26          730057
8         2919.06         4465.52          727138
9         2936.91         4447.66          724202
10         2954.88          4429.7          721247
11         2972.95         4411.63          718274
12         2991.14         4393.44          715283
13         3009.43         4375.15          712273
14         3027.84         4356.74          709245
15         3046.36         4338.22          706199
16         3064.99         4319.58          703134
17         3083.74         4300.84          700050
18          3102.6         4281.97          696948
19         3121.58            4263          693826
20         3140.67          4243.9          690685
21         3159.88         4224.69          687525
22         3179.21         4205.36          684346
23         3198.66         4185.92          681148
24         3218.22         4166.35          677929
25         3237.91         4146.67          674691
26         3257.71         4126.86          671434
27         3277.64         4106.94          668156
28         3297.69         4086.89          664858
29         3317.86         4066.72          661541
30         3338.15         4046.42          658202
31         3358.57            4026          654844
32         3379.11         4005.46          651465
33         3399.78         3984.79          648065
34         3420.58            3964          644644
35          3441.5         3943.07          641203
36         3462.55         3922.02          637740
37         3483.73         3900.84          634257
38         3505.04         3879.54          630752
39         3526.48          3858.1          627225
40         3548.05         3836.53          623677
41         3569.75         3814.82          620107
42         3591.59         3792.99          616516
43         3613.56         3771.02          612902
44         3635.66         3748.92          609266
45          3657.9         3726.68          605609
46         3680.27         3704.31          601928
47         3702.78         3681.79          598225
48         3725.43         3659.15          594500
49         3748.22         3636.36          590752
50         3771.14         3613.43          586981
51         3794.21         3590.37          583186
52         3817.42         3567.16          579369
53         3840.77         3543.81          575528
54         3864.26         3520.31          571664
55          3887.9         3496.68          567776
56         3911.68          3472.9          563864
57         3935.61         3448.97          559929
58         3959.68          3424.9          555969
59          3983.9         3400.68          551985
60         4008.27         3376.31          547977
61         4032.78         3351.79          543944
62         4057.45         3327.13          539887
63         4082.27         3302.31          535805
64         4107.24         3277.34          531697
65         4132.36         3252.22          527565
66         4157.64         3226.94          523407
67         4183.07         3201.51          519224
68         4208.65         3175.92          515016
69          4234.4         3150.18          510781
70          4260.3         3124.28          506521
71         4286.36         3098.22          502235
72         4312.58            3072          497922
73         4338.95         3045.62          493583
74         4365.49         3019.08          489217
75          4392.2         2992.38          484825
76         4419.06         2965.51          480406
77         4446.09         2938.48          475960
78         4473.29         2911.29          471487
79         4500.65         2883.93          466986
80         4528.18          2856.4          462458
81         4555.87          2828.7          457902
82         4583.74         2800.83          453318
83         4611.78          2772.8          448707
84         4639.99         2744.59          444067
85         4668.37         2716.21          439398
86         4696.92         2687.65          434701
87         4725.65         2658.92          429976
88         4754.56         2630.02          425221
89         4783.64         2600.94          420437
90          4812.9         2571.68          415625
91         4842.34         2542.24          410782
92         4871.96         2512.62          405910
93         4901.76         2482.82          401009
94         4931.74         2452.84          396077
95         4961.91         2422.67          391115
96         4992.26         2392.32          386123
97         5022.79         2361.78          381100
98         5053.52         2331.06          376046
99         5084.43         2300.15          370962
100         5115.53         2269.05          365846
101         5146.82         2237.76          360700
102          5178.3         2206.28          355521
103         5209.97         2174.61          350311
104         5241.84         2142.74          345069
105          5273.9         2110.67          339796
106         5306.16         2078.42          334489
107         5338.62         2045.96          329151
108         5371.27         2013.31          323779
109         5404.13         1980.45          318375
110         5437.18          1947.4          312938
111         5470.44         1914.14          307468
112          5503.9         1880.68          301964
113         5537.56         1847.01          296426
114         5571.44         1813.14          290855
115         5605.51         1779.06          285249
116          5639.8         1744.78          279610
117          5674.3         1710.28          273935
118         5709.01         1675.57          268226
119         5743.93         1640.65          262482
120         5779.06         1605.52          256703
121         5814.41         1570.17          250889
122         5849.97          1534.6          245039
123         5885.76         1498.82          239153
124         5921.76         1462.82          233231
125         5957.98          1426.6          227273
126         5994.42         1390.16          221279
127         6031.09         1353.49          215248
128         6067.98          1316.6          209180
129         6105.09         1279.48          203075
130         6142.44         1242.14          196932
131         6180.01         1204.57          190752
132         6217.81         1166.77          184535
133         6255.84         1128.74          178279
134          6294.1         1090.47          171985
135          6332.6         1051.97          165652
136         6371.34         1013.24          159281
137         6410.31         974.267          152870
138         6449.52         935.057          146421
139         6488.97         895.607          139932
140         6528.66         855.917          133403
141         6568.59         815.983          126835
142         6608.77         775.805          120226
143         6649.19         735.381          113577
144         6689.87          694.71          106887
145         6730.79         653.791          100156
146         6771.96         612.621           93384
147         6813.38         571.199         86570.7
148         6855.05         529.524         79715.6
149         6896.98         487.594         72818.6
150         6939.17         445.407         65879.5
151         6981.61         402.963         58897.8
152         7024.32         360.258         51873.5
153         7067.28         317.293         44806.2
154         7110.51         274.065         37695.7
155            7154         230.572         30541.7
156         7197.76         186.814           23344
157         7241.79         142.787         16102.2
158         7286.08         98.4916         8816.09
159         7330.65         53.9251         1485.44
160         7375.49         9.08593        -5890.05
